Title,Director,Popularity
Black Rain,"Scott, Ridley",73
8 1/2,"Fellini, Federico",80
One Frightened Night,"Cabanne, Christy",33
"Year My Voice Broke, The","Duigan, John",71
Is Paris Burning?,"Clément, René",63
QB VII,"Gries, Tom",28
"Island of Dr. Moreau, The","Taylor, Don",54
Beyond the Limit,"Mackenzie, John",51
Secret Agent,"Hitchcock, Alfred",50
Paramount Comedy Theater: Well-Developed,,40
"Big Bust Out, The","Theumer, Ernst R. von",50
"Fourth Protocol, The","Mackenzie, John",14
Gremlins 2: The New Batch,"Dante, Joe",61
Fast Times at Ridgemont High,"Heckerling, Amy",65
Mannequin,"Gottlieb, Michael",23
Rabid,"Cronenberg, David",34
"Party, The","Edwards, Blake",32
"Vampire Raiders, Ninja Queen","Lambert, Bruce",15
Bloopers from Star Trek,,22
Destroyer,"Seiter, William A.",87
Party Girl,"Ray, Nicholas",85
Twin Peaks,"Lynch, David",86
Moonstruck,"Jewison, Norman",6
"Witches of Eastwick, The","Miller, George",8
Moonraker,"Gilbert, Lewis",32
Beat Street,"Lathan, Stan",72
Running Out of Luck,,16
Never on Tuesday,"Rifkin, Adam",77
Shampoo,"Ashby, Hal",69
Power,"Lumet, Sidney",43
Darling,"Schlesinger, John",44
"Ugly American, The","Englund, George",63
Ambassador Bill,"Taylor, Sam",66
"Big Trail, The","Walsh, Raoul",22
Hombre,"Ritt, Martin",50
Coogan's Bluff,"Siegel, Don",57
Penn & Teller Get Killed,"Penn, Arthur",12
Shy People,"Konchalovsky, Andrei",7
It's My Turn,"Weill, Claudia",0
Dangerous Liaisons,"Frears, Stephen",77
Reversal of Fortune,"Schroeder, Barbet",73
Meeting Venus,"Szabó, István",74
Tomorrow Is Forever,,65
Like Father Like Son,"Daniel, Rod",20
Rope,"Hitchcock, Alfred",39
Road to Hong Kong,"Panama, Norman",37
Shirley Valentine,"Gilbert, Lewis",51
City of Joy,"Joffe, Roland",87
"Appaloosa, The","Furie, Sidney J.",15
Seven Minutes in Heaven,"Feferman, Linda",49
"Hearts of Darkness, A Filmmaker's Apocalypse","Bahr, Fax",72
Tonight for Sure,"Coppola, Francis Ford",4
"White Hunter, Black Heart","Eastwood, Clint",66
Sundays & Cybele,"Bourguignon, Serge",11
Puppet Master,"Schmoeller, David",20
Night Gallery,"Spielberg, Steven",31
Pet Sematary,"Lambert, Mary",27
"America's Music, Gospel","Walton, Kip",13
Slap Shot,"Hill, George Roy",82
O. C. & Stiggs,"Altman, Robert",3
A Fish Called Wanda,"Crichton, Charles",7
A Lesson in Love,"Bergman, Ingmar",48
Brink of Life,"Bergman, Ingmar",57
Betty Blue,"Beineix, Jean-Jacques",71
Hair,"Forman, Milos",67
National Lampoon's Christmas Vacation,"S, Jeremiah",81
"Dersu Uzala, (The Hunter)","Kurosawa, Akira",81
Alice,"Allen, Woody",22
"Fifth Floor, The","Avedis, Howard Hikmet",74
Snow Kill,"Wright, Thomas J.",35
"People, The","Coppola, Francis Ford",36
True Grit,"Hathaway, Henry",77
"Battle of Midway, The","Ford, John",75
Three Godfathers,"Ford, John",72
"Hush, Hush, Sweet Charlotte","Aldrich, Robert",68
A Stolen Life,"Bernhardt, Curtis",20
"Old Maid, The","Goulding, Edmund",18
All about Eve,"Mankiewicz, Joseph L.",23
"Fly, The","Cronenberg, David",33
Quick Change,"Franklin, Howard ",24
"Lair of the White Worm, The","Russell, Ken",16
"Rainbow, The","Russell, Ken",53
"Man Who Knew Too Much, The","Hitchcock, Alfred",15
Beauty & the Beast,"Cocteau, Jean",14
Foreign Correspondent,"Hitchcock, Alfred",61
"Heiress, The","Wyler, William",81
"Boy Who Could Fly, The","Castle, Nick",25
"Terrorists, The","Wrede, Caspar",4
Wheel of Fortune,"Auer, John H.",36
Do the Right Thing,"Lee, Spike",5
"Court-Martial of Jackie Robinson, The","Peerce, Larry",33
Elvira Madigan,"Widerberg, Bo",28
Hurricane Smith,"Budds, Colin",16
Fair Game,,24
"Rape of the Sabines, The",,83
Risky Business,"Brickman, Paul",28
I Love All of You (Je Vous Aime),"Berri, Claude",40
Love Songs,"Chouraqui, Elie",15
Le Choix des Armes,"Comeau, Alain",15
Choice of Arms,"Corneau, Alan",87
March or Die,"Richards, Dick",59
"Last Metro, The","Truffaut, François",66
Jean de Florette,"Berri, Claude",87
Fat Man & Little Boy,"Joffe, Roland",86
Wild at Heart,"Lynch, David",6
Family Business,"Lumet, Sidney",5
Stand & Deliver,"Menendez, Ramon",19
Looker,"Crichton, Michael",62
Fire & Rain,"Jameson, Jerry",10
"Best of Candid Camera, The",,12
Seven Sinners,"Garnett, Tay",24
Judgment at Nuremberg,"Kramer, Stanley",39
Minsky's Follies,,12
"Novice, The",,72
Wings of Desire,"Wenders, Wim",71
Until the End of the World,"Wenders, Wim",57
Castaway,"Roeg, Nicolas",41
"Alfred Hitchcock Presents, Sorcerer's Apprentice",,60
Delicatessen,"Caro, Marc",78
"Great Train Robbery, The","Crichton, Michael",7
Hanover Street,"Hyams, Peter",81
Hunchback,"Tuchner, Michael",33
My Darling Clementine,"Ford, John",12
Wagon Master,"Ford, John",30
She Wore a Yellow Ribbon,"Ford, John",84
Fantasy Man,"Meagher, John",82
Monster in the Closet,"Dahlin, Bob",39
Double Edge,"Kollek, Amos",69
Network,"Lumet, Sidney",48
Chinatown,"Polanski, Roman",55
Three Days of the Condor,"Pollack, Sydney",87
Voyage of the Damned,"Rosenberg, Stuart",34
Barfly,"Schroeder, Barbet",23
"Wait Until Spring, Bandini",,20
Life with Father,"Curtiz, Michael",10
A Guy Named Joe,"Fleming, Victor",42
Stavisky,"Resnais, Alain",1
Time Bandits,"Gilliam, Terry",5
"Shining, The","Kubrick, Stanley",32
Flame of Barbary Coast,"Kane, Joseph",54
"Naked Truth, The",,34
"Brood, The","Cronenberg, David",51
"Molly Maguires, The","Ritt, Martin",3
Beverly Hills Cop,"Brest, Martin",41
Blind Man's Bluff,"Quinn, James",64
La Dolce Vita,"Fellini, Federico",20
After the Fox,"De Sica, Vittorio",60
"Man with the Golden Gun, The","Hamilton, Guy",41
Marbella,"Hermoso, Miguel",45
"Bobo, The","Parrish, Robert",80
"Big Bands, The",,48
Killer Image.,"Winning, David",8
Kandyland,"Schnitzer, Robert Allen",41
Campus Man,"Casden, Ron",38
Jubal,"Daves, Delmer",32
"Purple Rose of Cairo, The","Allen, Woody",20
Broadway Danny Rose,"Allen, Woody",14
Husbands & Wives,"Allen, Woody",80
Hannah & Her Sisters,"Allen, Woody",8
Hurricane,"Troell, Jan",8
Between Two Women,"Avnet, John",52
"Cannonball Run, The","Needham, Hal",80
Doughnuts & Society,"Collins, Lewis D.",28
Holocaust,"Chomsky, Marvin J.",1
Meridian,"Band, Charles",47
Diary of a Hitman,"London, Roy",67
Gor,"Kiersch, Fritz",2
Surrender,"Belson, Jerry",84
Places in the Heart,"Benton, Robert",83
Not Without My Daughter,"Gilbert, Brian",55
Heroes,"Kagan, Jeremy Paul",17
Absence of Malice,"Pollack, Sydney",76
Norma Rae,"Ritt, Martin",64
Steel Magnolias,"Ross, Herbert",66
"Burbs, The","Dante, Joe",42
"Empire Strikes Back, The","Kershner, Irvin",33
Star Wars,"Lucas, George",44
Return of the Jedi,"Marquand, Richard",4
Hear My Song,"Chelsom, Peter",72
Slightly Scarlet,"Dwan, Allan",52
Gunfight at the OK Corral,"Sturges, John",84
"Range Feud, The","Lederman, Ross",51
Bloodsucking Pharaohs in Pittsburgh,"Smithey, Alan",79
Roma,"Fellini, Federico",75
"China Syndrome, The","Bridges, James",43
"Morning After, The","Lumet, Sidney",6
Klute,"Pakula, Alan J.",15
"Electric Horseman, The","Pollack, Sydney",34
Cat Ballou,"Silverstein, Elliot",62
Coming Home,,1
Rebecca,"Hitchcock, Alfred",78
Jane Eyre,"Stevenson, Robert",44
Stacey!,"Sidaris, Andy",31
Naked Obsession,"Golden, Dan",26
"Stripped to Kill II, Live Girls","Ruben, Katt Shea",80
"Rain Killer, The","Stein, Ken",10
Valley Girl,"Coolidge, Martha",30
"Silence of the Lambs, The","Demme, Jonathan",8
Stealing Home,"Kampmann, Steven ",76
Napoleon & Samantha,"McEveety, Bernard",33
Five Corners,,88
"Blackboard Jungle, The","Brooks, Richard",66
My Left Foot,"Sheridan, Jim",32
Back to the Beach,"Hobbs, Lyndall",45
"Painted Veil, The","Boleslawski, Richard",57
Inspiration,"Brown, Clarence",66
Anna Christie,"Brown, Clarence",0
"Flesh & the Devil, The","Brown, Clarence",72
Woman of Affairs,"Brown, Clarence",83
Anna Karenina,"Brown, Clarence",35
Camille,"Cukor, George",74
Mata Hari,"Fitzmaurice, George",67
Wild Orchids,"Franklin, Sidney",70
Grand Hotel,"Goulding, Edmund",81
"Susan Lennox, Her Fall & Rise","Leonard, Robert Z.",64
Ninotchka,"Lubitsch, Ernst",40
Queen Christina,"Mamoulian, Rouben",82
"Mysterious Lady, The","Niblo, Fred",72
Joyless Street,"Pabst, Georg Wilhelm",73
"Single Standard, The","Robertson, John S.",73
As You Desire Me,,85
Romance,,62
A Child Is Waiting,"Cassavetes, John",60
Tootsie,"Pollack, Sydney",8
Let It Ride,"Pytka, Joe",88
Julius Caesar,"Mankiewicz, Joseph L.",50
Nineteen Forty-One,"Spielberg, Steven",24
Jaws,"Spielberg, Steven",6
Hot Pursuit,"Lisberger, Steven",44
Triumph of the Spirit,"Young, Robert M.",49
Brannigan,"Hickox, Douglas",64
Buffet Froid,"Blier, Bertrand",75
Salvador,"Stone, Oliver",77
"Horse Soldiers, The","Ford, John",76
Long John Silver,"Haskin, Byron",56
"Hustler, The","Rossen, Robert",43
"Star Chamber, The","Hyam, Peter",3
Clara's Heart,"Mulligan, Robert",60
Burglar,"Wilson, Hugh",44
Comic Relief,,69
Bloodbrothers,"Mulligan, Robert",11
Rain Man,"Levinson, Barry",8
Masculine Feminine,"Godard, Jean-Luc",20
"Outer Limits, The","Stanley, Paul",27
Mama's Dirty Girls,,62
"Last Ride of the Dalton Gang, The","Curtis, Dan",62
Why Me?,,74
Number Seventeen,"Hitchcock, Alfred",66
Manhunter,"Mann, Michael",19
"Bonfire of the Vanities, The","De Palma, Brian",82
Working Girl,"Nichols, Mike",25
Shining Through,"Seltzer, David",11
Slumber Party Massacre III,,40
Tokyo Pop,"Kuzui, Fran Rubel",2
Terminator 2,"Cameron, James",8
"Terminator, The","Cameron, James",17
King Kong Lives!,"Guillermin, John",20
Those Daring Young Men in Their Jaunty,,59
At Play in the Fields of the Lord,"Babenco, Hector",81
Crazy People,"Bill, Tony",61
Memoirs of an Invisible Man,"Carpenter, John",58
"Clan of the Cave Bear, The","Chapman, Michael",73
"Final Terror, The","Davis, Andrew",24
Reckless,"Foley, James",14
High Spirits,"Jordan, Neil",53
Roxanne,"Schepisi, Fred",66
Blade Runner,"Scott, Ridley",1
Wall Street,"Stone, Oliver",6
Pope of Greenwich Village,,58
After School,,59
Flaming Frontiers,"Taylor, Ray",82
Libeled Lady,"Conway, Jack",86
Inserts,"Byrum, John",85
"Blue Iguana, The","Lafia, John",65
Tender Mercies,"Beresford, Bruce",61
Nights in White Satin,"Barnard, Michael",5
Videodrome,"Cronenberg, David",36
Intimate Stranger,"Holzman, Allan",23
Highlander,"Mulcahy, Russell",8
Bodycount,,51
Tango & Cash,"Konchalovsky, Andrei",9
There's a Girl in My Soup,"Boulting, Roy",41
Swing Shift,"Demme, Jonathan",81
Foul Play,"Higgins, Colin",46
Best Friends,"Jewison, Norman",74
Butterflies Are Free,"Katselas, Milton",82
Overboard,"Marshall, Garry",6
"Girl from Petrovka, The","Miller, Robert Ellis",23
Housesitter,"Oz, Frank",14
Wildcats,"Ritchie, Michael",22
Protocol,"Ross, Herbert",53
Seems Like Old Times,"Sandrich, Jay",49
"Sugarland Express, The","Spielberg, Steven",28
Private Benjamin,"Zieff, Howard",61
Deceived,,55
Arrowsmith,"Ford, John",84
Say Goodbye Maggie Cole,"Taylor, Jud",84
